80 200
-8 74 51
25 -4 -41
13 -68 -8
41 -64 -30
-41 60 -57
58 -73 -51
-20 -20 48
34 -46 -29
-35 -42 69
69 45 -11
43 70 -42
18 -69 -59
-76 26 24
-66 36 -30
-38 26 12
-29 66 33
-77 39 -62
32 18 -58
55 -10 -66
36 -63 49
-21 75 76
74 47 -23
3 -48 16
-72 -31 -19
17 -41 56
53 -56 -15
50 26 44
54 39 61
47 27 4
5 -71 -64
-26 -73 -48
-57 64 65
-56 26 -43
40 -45 19
-13 -32 -30
-34 66 -63
-49 -42 56
76 -48 -35
-77 73 15
-76 -48 -34
-1 56 4
37 -50 5
-9 -12 -4
52 -60 10
-10 55 -18
-38 41 -45
9 31 57
-75 -25 -29
-19 -50 -74
-48 54 66
54 71 41
-11 57 -76
38 59 -78
39 -20 -14
41 -74 32
-30 78 79
55 -36 41
36 68 1
-76 74 74
35 -78 -50
4 -38 -60
-68 -36 -74
-69 -59 47
65 -14 18
-31 -1 61
54 44 71
-61 73 30
-10 -71 24
-41 -51 30
-67 -31 57
5 -17 25
-39 -21 -32
6 19 -50
-41 -13 -69
9 -45 -58
11 -11 -74
1 44 -28
31 -80 -12
-15 -2 69
76 -6 -61
40 -26 -14
47 25 59
41 -61 -73
-59 12 -12
-49 -62 1
-39 28 -32
-75 -48 -76
3 -47 -45
-58 64 29
-42 31 -66
22 -72 -26
17 6 -8
77 57 28
-25 11 52
79 -15 -48
59 66 -29
-35 41 61
-56 -49 52
25 -38 6
16 -71 -78
-48 -14 10
-60 -6 -79
-41 -71 47
24 -17 40
48 -40 -76
73 70 -55
-40 6 -22
-20 24 -79
-5 -40 -32
-45 2 67
24 -73 -55
58 -10 28
-40 77 -43
80 -64 42
-27 78 76
-55 62 -54
73 72 33
-51 80 40
-76 44 -7
31 -64 -6
-32 73 -60
80 -77 -58
-49 -11 -57
12 72 -67
71 5 -5
-2 20 58
-42 6 53
-15 -8 63
60 -18 77
60 40 71
49 5 -71
-16 -52 -6
58 -9 -14
70 -24 36
-61 23 -24
10 -16 5
4 53 37
61 11 -22
-77 22 -9
-9 -54 -50
-40 21 40
11 34 59
45 -74 21
-77 -11 -64
-53 25 61
-18 59 46
30 50 -11
-64 66 -36
32 -52 64
-38 19 -18
39 -23 -41
-21 47 -3
50 64 -34
51 19 -35
-57 -27 -65
57 13 75
60 32 -24
-25 55 22
-49 -40 20
-22 -34 29
41 44 -77
8 20 -52
-67 -31 -8
-62 17 -76
13 39 -28
50 -51 -53
-33 32 -42
9 -41 75
75 -73 -58
73 -64 34
42 -59 21
41 -80 -25
71 40 59
13 1 -41
-66 -36 -79
2 49 -1
51 12 -30
70 -13 -46
-51 44 30
35 73 -5
80 -43 46
30 43 14
-3 47 64
-80 74 59
-52 76 10
1 73 68
52 -52 -57
-8 -27 -53
-41 -18 -56
12 55 -19
36 -53 3
37 34 45
40 -49 -23
-37 13 1
39 26 -61
-33 64 -42
62 -34 -52
60 57 15
-55 58 -18
1 -32 -15
